DEPTH,APLC,GR,PEF,RHOZ,RLA5,RXOZ,SAND/SHALE
2078.2788,0.2326,70.0212,2.6133,2.3788,2.9509,1.545,1
2078.4312,0.2307,64.7696,2.6669,2.381,3.2613,1.601,1
2078.5836,0.2138,67.0203,2.7089,2.4049,3.6983,1.8061,1
2080.7172,0.3081,78.5164,2.5901,2.3022,2.9375,1.914,1
2080.8696,0.2766,72.0218,2.5552,2.238,3.0934,1.2853,1
2081.022,0.2501,74.3166,2.5113,2.2529,3.2181,1.1435,1
2081.1744,0.2633,80.1934,2.485,2.2991,3.2853,1.1019,1
2082.3936,0.2743,72.2793,2.1402,2.258,4.3822,0.8906,1
2082.546,0.2505,61.2759,2.095,2.2756,4.2771,0.9309,1
2082.6984,0.247,55.8184,2.0472,2.2839,4.5037,1.073,1
2082.8508,0.242,48.6838,2.0286,2.2737,4.0995,1.0014,1
2083.0032,0.2501,49.7062,2.0576,2.2525,4.0286,0.94,1
2083.1556,0.2529,51.8245,2.1443,2.2385,3.8087,0.8521,1
2083.308,0.2855,54.6048,2.3099,2.2401,3.689,0.8484,1
2152.8024,0.215,85.5627,2.5122,2.3774,1.6217,0.8524,1
2152.9548,0.2074,85.0919,2.5052,2.3665,1.769,0.8966,1
2153.1072,0.2234,87.9678,2.5528,2.3649,1.5774,0.9317,1
2153.2596,0.211,93.852,2.5945,2.3709,1.5714,0.8962,1
2153.412,0.2162,95.4995,2.668,2.3849,2.4426,1.0164,1
2154.6312,0.2384,82.5691,2.9035,2.351,1.5954,1.1172,1
2154.7836,0.2297,80.0095,2.9864,2.36,1.5777,1.0465,1
2154.936,0.2274,84.5256,3.0875,2.386,1.958,1.0821,1
2155.8504,0.3448,99.9862,2.9723,2.4022,2.4388,1.5987,0
2156.0028,0.4407,100.6114,2.9142,2.2559,1.9588,0.5153,0
2156.1552,0.4889,94.9626,2.9356,2.1555,1.5184,0.3371,0
2156.3076,0.4699,91.6234,2.9509,2.1454,1.0404,0.2732,0
2156.46,0.3899,86.9234,3.006,2.2133,1.1493,0.3327,0
2156.6124,0.3834,84.2167,3.037,2.2706,1.3024,0.4192,0
2156.7648,0.3582,87.2176,3.0563,2.295,1.3208,0.4085,0
2156.9172,0.3975,91.1011,3.0717,2.2988,1.0527,0.3917,0
2157.0696,0.4059,88.6298,3.0778,2.2922,1.0391,0.3238,0
2157.222,0.4441,85.1287,3.0805,2.3051,0.9931,0.2993,0
2157.3744,0.41,87.4824,3.1182,2.3196,1.1163,0.2899,0
2157.5268,0.4047,86.3129,3.1763,2.3394,1.1826,0.3133,0
2157.6792,0.4069,83.6798,3.2196,2.3362,1.1392,0.3391,0
2157.8316,0.4371,77.7662,3.2341,2.3157,1.0106,0.3266,0
2157.984,0.4199,76.3467,3.2716,2.2985,0.9168,0.2539,0
2158.1364,0.3355,76.582,3.3443,2.3507,1.0704,0.2269,0
2223.3636,0.293,108.8419,2.8426,2.4598,2.9426,1.6151,0
2223.516,0.3529,118.2197,2.671,2.4301,2.6574,1.452,0
2223.6684,0.3035,114.8069,2.6167,2.4396,2.6275,1.2624,0
2223.8208,0.2817,102.8033,2.592,2.4688,2.9381,0.9953,0
2223.9732,0.2428,91.1748,2.5647,2.4915,3.5728,1.0184,0
2227.7832,0.3621,104.8554,2.5226,2.3026,2.9796,0.2616,0
2227.9356,0.4061,103.0828,2.5351,2.3181,1.9482,0.2725,0
2228.088,0.3245,102.8474,2.5997,2.3776,1.8199,0.3433,0
2228.2404,0.2942,107.9225,2.746,2.4367,2.5183,0.931,0
2228.3928,0.2836,106.2823,2.956,2.4645,2.9481,0.6685,0
2229.1548,0.285,100.6188,3.7556,2.4774,4.3832,0.7909,0
2229.3072,0.3477,105.966,4.0053,2.446,2.9258,0.7317,0
2229.4596,0.3625,109.4965,4.0939,2.4736,3.1056,1.2055,0
2229.612,0.3246,111.4971,3.9855,2.4936,3.2787,0.884,0
2229.7644,0.2816,110.4968,3.7291,2.4946,3.3274,0.9005,0
2229.9168,0.2682,100.7291,3.4092,2.4428,3.4351,0.9921,0
2230.0692,0.2572,81.8999,3.1045,2.3986,2.343,1.0124,0
2230.2216,0.2296,69.4328,2.9137,2.3602,2.4509,0.9176,1
2230.374,0.2263,62.9603,2.8825,2.3541,3.797,0.9631,1
2230.5264,0.2506,63.6664,3.015,2.3821,3.8238,1.2274,1
2230.6788,0.257,64.5049,3.1503,2.417,4.1266,1.7878,1
2230.8312,0.2323,68.8591,3.1363,2.4398,4.0203,2.2205,1
2231.2884,0.3322,86.5263,4.1966,2.6549,3.2973,1.1288,0
2231.4408,0.3205,81.8631,5.0235,2.6853,2.4848,1.3534,0
2231.5932,0.2805,85.1141,5.3218,2.6423,4.0252,1.5144,0
2231.7456,0.2419,88.218,5.1865,2.6206,5.6634,2.0395,0
2231.898,0.2062,88.924,4.7868,2.6407,6.461,3.6808,0
2232.0504,0.2049,90.6157,4.404,2.6437,6.3717,5.0916,0
2232.2028,0.2434,94.8891,4.0252,2.6179,4.3016,3.9013,0
2232.3552,0.2874,93.83,3.6438,2.5851,3.4619,2.2904,0
2232.5076,0.2855,88.6519,3.2819,2.5378,3.6672,1.4389,0
2232.66,0.2627,89.4389,2.957,2.5017,3.617,1.423,0
2232.8124,0.2844,97.8312,2.8376,2.4828,3.3085,1.5676,0
2232.9648,0.3141,107.5989,2.8869,2.5109,2.4186,1.5883,0
2233.1172,0.3164,110.894,2.9489,2.5591,2.3186,1.2015,0
2233.2696,0.2965,114.5201,2.8654,2.5585,2.3355,1.4021,0
2233.422,0.2953,113.6963,2.7376,2.5262,2.6319,1.505,0
2233.5744,0.3115,113.2256,2.7169,2.4791,2.6557,1.7545,0
2233.7268,0.3246,116.1529,2.8046,2.4806,2.1316,1.348,0
2233.8792,0.3391,124.1995,2.9031,2.4903,1.9256,1.0248,0
2238.756,0.3382,66.0201,3.2354,2.4922,1.8537,0.936,0
2238.9084,0.3615,82.503,3.4225,2.5672,3.0163,1.3917,0
2239.0608,0.3194,92.2707,3.3736,2.5833,2.7546,2.1287,0
2239.2132,0.2588,95.5658,3.2444,2.5506,2.8338,2.2178,0
2239.3656,0.2127,88.4975,3.3549,2.5397,3.9707,2.5205,0
2239.518,0.2016,81.4439,3.9431,2.5917,4.638,3.4127,0
2240.8896,0.292,75.9937,3.9562,2.5408,2.9587,2.4784,0
2241.042,0.3977,82.4957,3.5361,2.4088,2.1355,1.234,0
2241.1944,0.3765,93.1165,3.4281,2.3665,1.8562,0.869,0
2241.3468,0.2887,93.8962,3.4668,2.4053,1.518,0.5808,0
2241.4992,0.2204,84.2168,3.6035,2.4881,2.524,0.723,0
2241.6516,0.2399,75.8466,3.9498,2.5313,2.8575,1.0939,0
2241.804,0.2462,70.948,4.4971,2.585,1.9267,1.8262,0
2260.5492,0.3055,58.8562,2.7415,2.2666,1.2038,0.3542,1
2260.7016,0.2802,60.6214,2.5555,2.2488,1.1526,0.3126,1
2260.854,0.281,60.7391,2.549,2.2486,1.1455,0.3055,1
2261.0064,0.2512,61.3643,2.6905,2.2708,1.2827,0.3441,1
2261.1588,0.2636,59.9521,2.8599,2.2954,1.3421,0.4124,1
2261.3112,0.2567,58.9445,2.9079,2.2944,1.4144,0.4428,1
2261.4636,0.2608,53.3619,2.8136,2.2798,1.1831,0.3812,1
2261.616,0.2362,53.3619,2.7028,2.2779,1.1533,0.3535,1
2263.5972,0.278,59.7535,2.5556,2.2843,1.4344,0.4028,1
2263.7496,0.254,57.5176,2.5506,2.2628,1.3505,0.3868,1
2263.902,0.2507,56.5761,2.6617,2.2806,1.3903,0.3843,1
2264.0544,0.2465,59.577,2.8356,2.3203,1.7094,0.4313,1
2264.664,0.2465,95.1466,3.3618,2.4916,3.109,0.7198,0
2264.8164,0.3194,91.7706,3.3555,2.4629,1.7584,0.4759,0
2264.9688,0.3801,92.1237,3.2068,2.414,1.313,0.3458,0
2265.1212,0.3772,89.2993,3.0548,2.3844,1.2048,0.4057,0
2265.2736,0.3703,86.4969,2.981,2.3621,1.2331,0.3332,0
2265.426,0.3947,81.5543,2.9866,2.3511,1.2148,0.2431,0
2265.5784,0.4017,80.1347,3.0137,2.35,1.2528,0.2332,0
2265.7308,0.353,77.7811,3.0287,2.3623,1.259,0.2449,0
2265.8832,0.3609,78.4872,3.0358,2.3585,1.2055,0.2974,0
2266.0356,0.3568,83.2018,3.0093,2.3465,1.2066,0.2867,0
2266.188,0.3435,89.6744,2.9965,2.3515,1.1465,0.3226,0
2266.3404,0.3635,92.5576,3.0334,2.3366,1.2679,0.3542,0
2266.4928,0.3804,87.2619,3.0766,2.3382,1.271,0.3617,0
2266.6452,0.3836,82.3192,3.078,2.3372,1.2702,0.3132,0
2266.7976,0.3569,80.4436,3.0229,2.3442,1.1682,0.2936,0
2266.95,0.3694,82.2089,2.9721,2.3539,1.3159,0.3049,0
2267.1024,0.3496,83.7387,2.9778,2.3738,1.2781,0.3846,0
2267.2548,0.3591,88.9903,3.026,2.4517,1.2247,0.5418,0
2292.096,0.1885,71.1981,2.6858,2.3859,2.7098,0.6765,1
2292.2484,0.18,58.253,2.5061,2.38,2.5622,0.615,1
2292.4008,0.1801,56.3701,2.4116,2.3704,2.1757,0.542,1
2292.5532,0.1848,57.5469,2.3753,2.3464,2.0446,0.485,1
2292.7056,0.2,60.489,2.3762,2.3225,1.9006,0.4511,1
2292.858,0.2026,62.622,2.4132,2.3196,1.9516,0.4311,1
2293.0104,0.1865,62.975,2.4663,2.3403,2.2251,0.4523,1
2293.1628,0.1724,65.0933,2.5046,2.3792,2.6879,0.5153,1
2293.3152,0.1642,63.7841,2.5178,2.4011,2.4446,0.5558,1
2293.4676,0.1814,59.2533,2.4822,2.3865,1.9718,0.5464,1
2293.62,0.1909,55.8405,2.4717,2.3599,1.7717,0.477,1
2322.2712,0.1757,68.9622,2.3904,2.3832,2.378,0.6332,1
2322.4236,0.1838,63.2031,2.3111,2.3761,2.7201,0.6086,1
2322.576,0.1836,58.8488,2.2976,2.3765,2.6274,0.6222,1
2322.7284,0.1728,65.086,2.2941,2.4008,3.2605,0.6879,1
2322.8808,0.1638,76.2585,2.353,2.428,3.5448,0.8049,1
2326.0812,0.179,60.8421,2.3493,2.4094,4.22,1.1546,1
2326.2336,0.1757,45.7787,2.2026,2.3899,2.3303,0.7202,1
2326.386,0.1759,39.8945,2.1049,2.358,2.1221,0.5634,1
2326.5384,0.1808,38.4823,2.0408,2.3405,1.9935,0.5392,1
2326.6908,0.1913,37.8939,2.0443,2.3216,1.8839,0.5192,1
2326.8432,0.1885,34.5988,2.064,2.3122,2.1099,0.5069,1
2326.9956,0.1906,34.0839,2.1072,2.304,2.0122,0.476,1
2327.148,0.1914,37.4967,2.1488,2.3048,1.9065,0.4663,1
2327.3004,0.1912,41.6156,2.1562,2.3169,2.1509,0.466,1
2327.4528,0.1948,46.2494,2.1468,2.3379,2.2362,0.5069,1
2330.196,0.1806,36.8494,1.9971,2.3576,2.3434,0.4826,1
2330.3484,0.1983,37.0848,2.0426,2.3491,1.961,0.4887,1
2330.5008,0.1966,38.6,2.0662,2.348,2.1972,0.5191,1
2330.6532,0.1994,37.0775,2.0551,2.3415,2.1359,0.532,1
2330.8056,0.1851,33.0762,1.9953,2.3328,2.1371,0.4925,1
2330.958,0.1874,28.8397,1.9257,2.3201,1.9105,0.4595,1
2331.1104,0.1878,27.3024,1.8694,2.3128,2.4584,0.4557,1
2331.2628,0.1895,28.2439,1.8581,2.3131,1.6389,0.4149,1
2331.4152,0.1678,27.7732,1.8987,2.3196,1.4172,0.3924,1
2331.5676,0.1708,30.1268,1.9928,2.3377,1.5817,0.3825,1
2331.72,0.1623,32.7158,2.0983,2.3569,1.7202,0.4869,1
2331.8724,0.1674,40.3652,2.1581,2.3824,3.0591,0.6409,1
2332.0248,0.1681,46.5509,2.1689,2.3963,3.0223,0.8046,1
2332.1772,0.1563,49.2576,2.1619,2.393,4.0292,0.8242,1
2332.3296,0.1603,42.8831,2.1488,2.3769,3.1047,0.777,1
2332.482,0.1557,38.7569,2.1103,2.3703,2.6513,0.676,1
2332.6344,0.1651,39.816,2.0755,2.3779,3.1597,0.6273,1
2332.7868,0.1615,48.3088,2.0713,2.3855,3.5958,0.6958,1
2332.9392,0.1852,52.1335,2.0923,2.3872,4.0283,0.8524,1
2333.0916,0.1857,51.7805,2.0902,2.3829,3.36,0.7856,1
2333.244,0.192,46.7201,2.0615,2.3835,3.1458,0.6912,1
2333.3964,0.1783,47.6469,2.0561,2.3826,3.6004,0.7061,1
2333.5488,0.1692,46.7054,2.0759,2.3857,3.8374,0.7704,1
2333.7012,0.162,50.942,2.0989,2.3918,3.9936,0.8499,1
2333.8536,0.1556,46.9555,2.1236,2.3958,4.1139,0.7778,1
2334.006,0.1598,45.1534,2.1203,2.3947,3.6026,0.7763,1
2334.1584,0.1611,39.2693,2.1052,2.3886,3.0215,0.666,1
2334.3108,0.173,37.3864,2.0605,2.3905,2.6037,0.6042,1
2334.4632,0.1632,36.364,2.0627,2.3899,3.2753,0.6145,1
2334.6156,0.1782,38.2469,2.1053,2.3912,3.1779,0.6403,1
2337.054,0.164,89.5272,2.3409,2.4577,3.681,1.7702,1
2337.2064,0.1444,76.9352,2.3569,2.4216,3.6074,1.2509,1
2337.3588,0.1601,69.4035,2.3607,2.3914,4.2271,0.8447,1
2337.5112,0.1681,69.6683,2.3572,2.3768,3.6984,0.7382,1
2337.6636,0.1637,69.3152,2.3191,2.3705,3.4859,0.6986,1
2337.816,0.1595,69.3152,2.293,2.3846,3.5753,0.8739,1
2337.9684,0.1663,67.6676,2.2882,2.4204,3.5439,0.9895,1
